Comment,Designator,Footprint,LCSC Part #
1.3M,R25,R0402,
1M,R8 R24,R0402,
1N5819WS,D1,SOD323-R,
1TS003B-1600-3500A,DOWN PUSH RESET UP,1TS003B16003500A,
1k,R5,R0402,
1uF,C29 C30 C31,C0402,
1uF/25V,C9 C10 C11 C16,C0402,
1x15,JP1,1X15-F-SMD,C5142248
2.2R,R9,R0402,
3.3k,R10,R0402,
4.7k,R13 R14,R0603,
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
4.7uF/25V,C20,C0603,
5.1k,R15 R16,R0402,
5.8A/30V/35mΩ,Q4,SOT23-3,C20917
5.76k,R21,R0402,
10k,R1 R2 R3 R6 R11 R18 R19 R20 R22 R26,R0402,
10uF,C7,C0603,
10uF/16V,C4 C5 C24 C25,C0603,
10uF/25V,C21,C0603,
10uH,L2,L1210,C86069
22uF,C22 C23,C0402,
22uF,C26,C0603,
47k,R4 R7,R0402,
47uF,C2,C0603,C178330
47uH/1A,L1,SMNR4020,
91k,R17,R0402,
100k,R12 R23,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C17 C18 C19,C0402,
AO3400,Q8,SOT23,
AO3401,Q5 Q7,SOT23,
AP3012,IC5,SOT95P280X135-5N,C460356
BAT60B,D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
DMG2305UX,Q2,MICRO3,C144153
ESP32-S3-WROOM-1-N16R8,IC1,ESP32S3WROOM1N16,
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4_RA,J2,1X04_1MM_RA,
JST-SH-4_VERT,J3,1X04_1MM_RA,
LESD5D5.0CT1G,D7 D8 D9,LESD5D50CT1G,
MBR0530,D4 D5 D6,SOD123-F,
MICRO_SD,SD_CARD,MICRO_SD,C91145
MMDT3904,Q1,SC70-6,C268586
MMDT5401,Q3,SC70-6,C54540
RED,CHRG,CHIP-LED0603,C2286
RT9080-33GJ5,IC2 LDO,SOT94P280X100-5N,
SHT40,SHT40,SHT40,
SMF05C,IC4,SOT65P210X110-6N,C558425
SSSS811101,SW1,SSSS811101,
TP4054,U1,SOT-23-5,C32574
USB-C_GT-USB-7010B,J4,G-SWITCH_GT-USB-7010B,C2837092
USUP_SPI_CONNECTOR,J5,1X06_1MM_RA,
AFC24-S24FIC-00,DISPLAY,AFC24-S24FIC-00,C262292
AFC07-S06ECA-00,LED TOUCH,AFC07-S06ECA-00,C262579
